Index,File,Points,Lambda_Min,Lambda_Max,Integral,Peak_Value,Peak_Lambda,Mean_Value
211,500_425_QEPB04081__211__15-51-49-102.txt,1044,220.843,1015.12,1254980.20524,36035.62,504.934,1555.37957854406
212,500_425_QEPB04081__212__15-51-50-100.txt,1044,220.843,1015.12,1255253.96,36140.5,504.934,1555.73850574713
213,500_425_QEPB04081__213__15-51-51-089.txt,1044,220.843,1015.12,1255220.98625,36006.75,504.934,1555.70019157088
214,500_425_QEPB04081__214__15-51-52-093.txt,1044,220.843,1015.12,1255209.17226,36065.38,504.934,1555.68363984675
215,500_425_QEPB04081__215__15-51-53-095.txt,1044,220.843,1015.12,1255193.20174,36060.12,505.707,1555.67268199233
216,500_425_QEPB04081__216__15-51-54-083.txt,1044,220.843,1015.12,1254835.91624,36063.62,504.934,1555.22057471264
217,500_425_QEPB04081__217__15-51-55-075.txt,1044,220.843,1015.12,1254462.232,36051.5,505.707,1554.75862068966
218,500_425_QEPB04081__218__15-51-56-068.txt,1044,220.843,1015.12,1254328.48924,35974.12,504.934,1554.58743295019
219,500_425_QEPB04081__219__15-51-57-059.txt,1044,220.843,1015.12,1254296.0755,36015.5,504.934,1554.55363984674
220,500_425_QEPB04081__220__15-51-58-069.txt,1044,220.843,1015.12,1255609.0645,36088.5,504.934,1556.19731800766
221,500_425_QEPB04081__221__15-51-59-068.txt,1044,220.843,1015.12,1253689.38975,35989.25,505.707,1553.79789272031
222,500_425_QEPB04081__222__15-52-00-057.txt,1044,220.843,1015.12,1254068.76574,36006.62,504.934,1554.27229885057
223,500_425_QEPB04081__223__15-52-01-060.txt,1044,220.843,1015.12,1253841.278,35968.5,505.707,1553.99329501916
224,500_425_QEPB04081__224__15-52-02-050.txt,1044,220.843,1015.12,1254399.3065,35977,504.934,1554.69157088123
225,500_425_QEPB04081__225__15-52-03-045.txt,1044,220.843,1015.12,1253254.58124,35932.62,505.707,1553.26559386973
226,500_425_QEPB04081__226__15-52-04-060.txt,1044,220.843,1015.12,1253917.00776,35981.88,504.934,1554.09264367816
227,500_425_QEPB04081__227__15-52-05-060.txt,1044,220.843,1015.12,1253237.42975,35995.25,505.707,1553.24137931034
228,500_425_QEPB04081__228__15-52-06-050.txt,1044,220.843,1015.12,1253083.21576,35946.38,505.707,1553.0514559387
229,500_425_QEPB04081__229__15-52-07-044.txt,1044,220.843,1015.12,1253246.12725,35936.25,504.934,1553.25670498084
230,500_425_QEPB04081__230__15-52-08-045.txt,1044,220.843,1015.12,1253546.338,35923.5,505.707,1553.62643678161
231,500_425_QEPB04081__231__15-52-09-040.txt,1044,220.843,1015.12,1252271.70174,35904.12,504.934,1552.04337164751
232,500_425_QEPB04081__232__15-52-10-034.txt,1044,220.843,1015.12,1252982.54674,35932.62,505.707,1552.92842911877
233,500_425_QEPB04081__233__15-52-11-026.txt,1044,220.843,1015.12,1252571.53574,35948.12,504.934,1552.41406130268
234,500_425_QEPB04081__234__15-52-12-017.txt,1044,220.843,1015.12,1252687.427,35951.5,505.707,1552.5632183908
235,500_425_QEPB04081__235__15-52-13-015.txt,1044,220.843,1015.12,1252315.969,36009.5,505.707,1552.09195402299
236,500_425_QEPB04081__236__15-52-14-008.txt,1044,220.843,1015.12,1252668.82376,35954.88,505.707,1552.54570881226
237,500_425_QEPB04081__237__15-52-15-000.txt,1044,220.843,1015.12,1251973.11575,35921.25,505.707,1551.67624521073
238,500_425_QEPB04081__238__15-52-15-997.txt,1044,220.843,1015.12,1252992.3595,35894.5,505.707,1552.94636015326
239,500_425_QEPB04081__239__15-52-16-997.txt,1044,220.843,1015.12,1252032.45976,35924.38,505.707,1551.74973180077
240,500_425_QEPB04081__240__15-52-17-992.txt,1044,220.843,1015.12,1252867.13626,35886.88,504.934,1552.79283524905
241,500_425_QEPB04081__241__15-52-18-983.txt,1044,220.843,1015.12,1176386.0165,33754,505.707,1458.00766283525
242,500_425_QEPB04081__242__15-52-19-983.txt,1044,220.843,1015.12,1163363.03825,33364.75,505.707,1441.86494252874
243,500_425_QEPB04081__243__15-52-20-985.txt,1044,220.843,1015.12,1244951.53524,35700.62,504.934,1542.98206896551
244,500_425_QEPB04081__244__15-52-21-978.txt,1044,220.843,1015.12,1245802.26176,35703.38,505.707,1544.02655172414
245,500_425_QEPB04081__245__15-52-22-994.txt,1044,220.843,1015.12,1246735.94174,35722.12,504.934,1545.18704980843
246,500_425_QEPB04081__246__15-52-23-984.txt,1044,220.843,1015.12,1245606.82875,35751.25,504.934,1543.77298850575
247,500_425_QEPB04081__247__15-52-24-981.txt,1044,220.843,1015.12,1247016.1455,35765.5,504.934,1545.53927203065
248,500_425_QEPB04081__248__15-52-25-993.txt,1044,220.843,1015.12,1247495.42225,35753.75,504.934,1546.13697318008
249,500_425_QEPB04081__249__15-52-26-984.txt,1044,220.843,1015.12,1247519.844,35741.5,504.934,1546.16187739464
250,500_425_QEPB04081__250__15-52-27-984.txt,1044,220.843,1015.12,1247003.68475,35740.25,504.934,1545.51819923372
251,500_425_QEPB04081__251__15-52-29-002.txt,1044,220.843,1015.12,1247450.10075,35679.25,505.707,1546.0775862069
252,500_425_QEPB04081__252__15-52-30-006.txt,1044,220.843,1015.12,1246471.74026,35722.38,504.934,1544.86467432951
253,500_425_QEPB04081__253__15-52-31-012.txt,1044,220.843,1015.12,1247046.62574,35734.62,504.934,1545.56540229885
254,500_425_QEPB04081__254__15-52-32-015.txt,1044,220.843,1015.12,1246560.69624,35716.62,505.707,1544.98206896551
255,500_425_QEPB04081__255__15-52-33-014.txt,1044,220.843,1015.12,1245136.606,35730.5,504.934,1543.19731800766
256,500_425_QEPB04081__256__15-52-34-005.txt,1044,220.843,1015.12,1247062.006,35679.5,505.707,1545.60344827586
257,500_425_QEPB04081__257__15-52-34-996.txt,1044,220.843,1015.12,1246709.5955,35682.5,505.707,1545.16570881226
258,500_425_QEPB04081__258__15-52-35-994.txt,1044,220.843,1015.12,1245597.00325,35594.75,504.934,1543.77681992337
259,500_425_QEPB04081__259__15-52-36-990.txt,1044,220.843,1015.12,1246223.01676,35637.38,504.934,1544.56199233717
260,500_425_QEPB04081__260__15-52-37-984.txt,1044,220.843,1015.12,1245734.24025,35650.75,505.707,1543.94540229885
261,500_425_QEPB04081__261__15-52-38-988.txt,1044,220.843,1015.12,1246018.4235,35600.5,505.707,1544.31130268199
262,500_425_QEPB04081__262__15-52-39-994.txt,1044,220.843,1015.12,1245498.11475,35668.25,504.934,1543.66475095785
263,500_425_QEPB04081__263__15-52-40-988.txt,1044,220.843,1015.12,1245711.6565,35602,505.707,1543.92816091954
264,500_425_QEPB04081__264__15-52-41-989.txt,1044,220.843,1015.12,1246420.6915,35636,505.707,1544.81896551724
265,500_425_QEPB04081__265__15-52-42-980.txt,1044,220.843,1015.12,1244769.72626,35493.38,504.934,1542.76505747127
266,500_425_QEPB04081__266__15-52-43-979.txt,1044,220.843,1015.12,1244134.41975,35576.25,504.934,1541.97796934866
267,500_425_QEPB04081__267__15-52-44-981.txt,1044,220.843,1015.12,1245501.70875,35595.25,505.707,1543.67337164751
268,500_425_QEPB04081__268__15-52-45-979.txt,1044,220.843,1015.12,1245001.02676,35567.88,505.707,1543.05816091954
269,500_425_QEPB04081__269__15-52-46-962.txt,1044,220.843,1015.12,1244199.61626,35559.38,505.707,1542.07827586207
270,500_425_QEPB04081__270__15-52-47-959.txt,1044,220.843,1015.12,1244664.1515,35528,505.707,1542.65038314176
271,500_425_QEPB04081__271__15-52-48-972.txt,1044,220.843,1015.12,1244013.425,35519,505.707,1541.84099616858
272,500_425_QEPB04081__272__15-52-49-966.txt,1044,220.843,1015.12,1243174.66776,35482.38,504.934,1540.79379310345
273,500_425_QEPB04081__273__15-52-50-962.txt,1044,220.843,1015.12,1244435.881,35585,504.934,1542.36685823755
274,500_425_QEPB04081__274__15-52-51-974.txt,1044,220.843,1015.12,1242255.32525,35476.25,505.707,1539.6398467433
275,500_425_QEPB04081__275__15-52-52-967.txt,1044,220.843,1015.12,1242890.92626,35419.38,504.934,1540.44321839081
276,500_425_QEPB04081__276__15-52-53-983.txt,1044,220.843,1015.12,1243251.60476,35485.38,504.934,1540.89245210728
277,500_425_QEPB04081__277__15-52-54-982.txt,1044,220.843,1015.12,1242862.56075,35435.25,505.707,1540.40900383142
278,500_425_QEPB04081__278__15-52-55-975.txt,1044,220.843,1015.12,1242678.38376,35514.38,504.934,1540.18363984675
279,500_425_QEPB04081__279__15-52-56-974.txt,1044,220.843,1015.12,1243411.626,35527,505.707,1541.09865900383
280,500_425_QEPB04081__280__15-52-57-970.txt,1044,220.843,1015.12,1242348.20974,35437.12,505.707,1539.76942528735
281,500_425_QEPB04081__281__15-52-58-964.txt,1044,220.843,1015.12,1241942.84876,35432.38,504.934,1539.27463601533
282,500_425_QEPB04081__282__15-52-59-964.txt,1044,220.843,1015.12,1242419.36925,35433.75,505.707,1539.87260536398
283,500_425_QEPB04081__283__15-53-00-959.txt,1044,220.843,1015.12,1241982.13724,35382.62,505.707,1539.3240229885
284,500_425_QEPB04081__284__15-53-01-959.txt,1044,220.843,1015.12,1241741.86624,35471.12,505.707,1539.01942528735
285,500_425_QEPB04081__285__15-53-02-954.txt,1044,220.843,1015.12,1241077.70276,35445.38,505.707,1538.18555555556
286,500_425_QEPB04081__286__15-53-03-960.txt,1044,220.843,1015.12,1242662.77876,35437.38,505.707,1540.16927203065
287,500_425_QEPB04081__287__15-53-04-955.txt,1044,220.843,1015.12,1242276.252,35472,505.707,1539.69827586207
288,500_425_QEPB04081__288__15-53-05-948.txt,1044,220.843,1015.12,1240600.38676,35369.88,505.707,1537.60413793104
289,500_425_QEPB04081__289__15-53-06-945.txt,1044,220.843,1015.12,1241413.43475,35454.25,505.707,1538.62164750958
290,500_425_QEPB04081__290__15-53-07-936.txt,1044,220.843,1015.12,1240892.84174,35327.62,504.934,1537.9638697318
291,500_425_QEPB04081__291__15-53-08-930.txt,1044,220.843,1015.12,1241365.4615,35320,505.707,1538.56992337165
292,500_425_QEPB04081__292__15-53-09-927.txt,1044,220.843,1015.12,1240404.05974,35403.12,505.707,1537.36808429118
293,500_425_QEPB04081__293__15-53-10-922.txt,1044,220.843,1015.12,1241649.66074,35388.12,505.707,1538.92555555555
294,500_425_QEPB04081__294__15-53-11-915.txt,1044,220.843,1015.12,1240879.9655,35268,505.707,1537.97030651341
295,500_425_QEPB04081__295__15-53-12-910.txt,1044,220.843,1015.12,1241140.63676,35310.88,505.707,1538.29091954023
296,500_425_QEPB04081__296__15-53-13-899.txt,1044,220.843,1015.12,1240763.99874,35312.62,505.707,1537.81923371647
297,500_425_QEPB04081__297__15-53-14-894.txt,1044,220.843,1015.12,1240307.36126,35284.38,505.707,1537.25547892721
298,500_425_QEPB04081__298__15-53-15-887.txt,1044,220.843,1015.12,1239569.55325,35318.25,505.707,1536.33812260536
299,500_425_QEPB04081__299__15-53-16-892.txt,1044,220.843,1015.12,1239812.08625,35277.25,505.707,1536.64176245211
300,500_425_QEPB04081__300__15-53-17-890.txt,1044,220.843,1015.12,1239157.79225,35315.25,505.707,1535.82950191571
301,500_425_QEPB04081__301__15-53-18-884.txt,1044,220.843,1015.12,1239733.741,35250.5,505.707,1536.5469348659
302,500_425_QEPB04081__302__15-53-19-896.txt,1044,220.843,1015.12,1240597.14474,35234.62,504.934,1537.61904214559
303,500_425_QEPB04081__303__15-53-20-894.txt,1044,220.843,1015.12,1239960.7345,35261.5,505.707,1536.82567049808
304,500_425_QEPB04081__304__15-53-21-901.txt,1044,220.843,1015.12,1240204.29576,35281.38,505.707,1537.12808429119
305,500_425_QEPB04081__305__15-53-22-891.txt,1044,220.843,1015.12,1239923.10824,35264.12,505.707,1536.7924137931
306,500_425_QEPB04081__306__15-53-23-882.txt,1044,220.843,1015.12,1192916.44224,33906.62,505.707,1478.52229885057
307,500_425_QEPB04081__307__15-53-24-877.txt,1044,220.843,1015.12,1173740.14874,33397.12,505.707,1454.75026819923
308,500_425_QEPB04081__308__15-53-25-871.txt,1044,220.843,1015.12,1214939.397,34560,505.707,1505.81034482759
309,500_425_QEPB04081__309__15-53-26-865.txt,1044,220.843,1015.12,1236470.26375,35255.25,505.707,1532.50191570881
310,500_425_QEPB04081__310__15-53-27-860.txt,1044,220.843,1015.12,1238254.39125,35300.75,505.707,1534.72126436782
311,500_425_QEPB04081__311__15-53-28-859.txt,1044,220.843,1015.12,1236451.19374,35121.62,504.934,1532.48206896551
312,500_425_QEPB04081__312__15-53-29-860.txt,1044,220.843,1015.12,1237923.35975,35188.25,505.707,1534.30363984674
313,500_425_QEPB04081__313__15-53-30-855.txt,1044,220.843,1015.12,1237521.66024,35196.62,505.707,1533.81061302682
314,500_425_QEPB04081__314__15-53-31-855.txt,1044,220.843,1015.12,1237718.98626,35193.88,505.707,1534.04666666667
315,500_425_QEPB04081__315__15-53-32-846.txt,1044,220.843,1015.12,1237128.26576,35192.38,504.934,1533.31965517242
316,500_425_QEPB04081__316__15-53-33-842.txt,1044,220.843,1015.12,1236468.68476,35081.88,504.934,1532.51218390805
317,500_425_QEPB04081__317__15-53-34-853.txt,1044,220.843,1015.12,1236267.88074,35111.12,505.707,1532.25601532567
318,500_425_QEPB04081__318__15-53-35-848.txt,1044,220.843,1015.12,1236064.73124,35060.62,505.707,1532.00984674329
319,500_425_QEPB04081__319__15-53-36-836.txt,1044,220.843,1015.12,1235789.8275,35096,505.707,1531.66283524904
320,500_425_QEPB04081__320__15-53-37-840.txt,1044,220.843,1015.12,1236383.86626,35094.88,505.707,1532.40873563219
321,500_425_QEPB04081__321__15-53-38-844.txt,1044,220.843,1015.12,1235307.51275,35087.25,505.707,1531.06992337165
322,500_425_QEPB04081__322__15-53-39-838.txt,1044,220.843,1015.12,1234549.48325,35067.75,505.707,1530.1245210728
323,500_425_QEPB04081__323__15-53-40-837.txt,1044,220.843,1015.12,1236748.29475,35087.75,504.934,1532.86111111111
324,500_425_QEPB04081__324__15-53-41-826.txt,1044,220.843,1015.12,1235010.15124,35004.12,505.707,1530.71195402299
325,500_425_QEPB04081__325__15-53-42-819.txt,1044,220.843,1015.12,1234141.17124,34985.62,506.48,1529.63340996168
326,500_425_QEPB04081__326__15-53-43-812.txt,1044,220.843,1015.12,1236920.08125,35109.25,505.707,1533.06992337165
327,500_425_QEPB04081__327__15-53-44-824.txt,1044,220.843,1015.12,1233722.59076,34937.88,504.934,1529.10509578544
328,500_425_QEPB04081__328__15-53-45-813.txt,1044,220.843,1015.12,1235038.98274,35026.62,505.707,1530.74835249042
329,500_425_QEPB04081__329__15-53-46-804.txt,1044,220.843,1015.12,1234732.4865,35011,505.707,1530.37164750958
330,500_425_QEPB04081__330__15-53-47-818.txt,1044,220.843,1015.12,1234430.9345,34961.5,505.707,1529.99425287356
331,500_425_QEPB04081__331__15-53-48-816.txt,1044,220.843,1015.12,1234836.04425,34959.25,505.707,1530.50478927203
332,500_425_QEPB04081__332__15-53-49-816.txt,1044,220.843,1015.12,1234280.62076,34988.88,505.707,1529.81486590039
333,500_425_QEPB04081__333__15-53-50-811.txt,1044,220.843,1015.12,1233829.23725,35073.25,505.707,1529.24521072797
334,500_425_QEPB04081__334__15-53-51-808.txt,1044,220.843,1015.12,1234383.51226,34873.38,505.707,1529.93651340996
335,500_425_QEPB04081__335__15-53-52-807.txt,1044,220.843,1015.12,1234452.459,35010.5,505.707,1530.02011494253
336,500_425_QEPB04081__336__15-53-53-802.txt,1044,220.843,1015.12,1234183.19474,34887.62,506.48,1529.69183908046
337,500_425_QEPB04081__337__15-53-54-804.txt,1044,220.843,1015.12,1234135.2455,34893,505.707,1529.63793103448
338,500_425_QEPB04081__338__15-53-55-798.txt,1044,220.843,1015.12,1233694.73526,34920.38,505.707,1529.08689655173
339,500_425_QEPB04081__339__15-53-56-796.txt,1044,220.843,1015.12,1233362.38826,34920.38,505.707,1528.66927203065
340,500_425_QEPB04081__340__15-53-57-785.txt,1044,220.843,1015.12,1233462.16525,34954.25,505.707,1528.79214559387
341,500_425_QEPB04081__341__15-53-58-774.txt,1044,220.843,1015.12,1234159.00225,34898.25,505.707,1529.6714559387
342,500_425_QEPB04081__342__15-53-59-786.txt,1044,220.843,1015.12,1233346.31726,34878.38,505.707,1528.65490421456
343,500_425_QEPB04081__343__15-54-00-780.txt,1044,220.843,1015.12,1232896.2885,34863,505.707,1528.08812260536
344,500_425_QEPB04081__344__15-54-01-782.txt,1044,220.843,1015.12,1232689.13674,34945.62,505.707,1527.84030651341
345,500_425_QEPB04081__345__15-54-02-796.txt,1044,220.843,1015.12,1231454.22825,34879.25,505.707,1526.29406130268
346,500_425_QEPB04081__346__15-54-03-798.txt,1044,220.843,1015.12,1232843.91226,34772.88,506.48,1528.03996168583
347,500_425_QEPB04081__347__15-54-04-789.txt,1044,220.843,1015.12,1233094.02075,34856.75,505.707,1528.34865900383
348,500_425_QEPB04081__348__15-54-05-787.txt,1044,220.843,1015.12,1232913.354,34849,505.707,1528.12739463602
349,500_425_QEPB04081__349__15-54-06-777.txt,1044,220.843,1015.12,1231575.37876,34860.88,505.707,1526.45088122606
350,500_425_QEPB04081__350__15-54-07-778.txt,1044,220.843,1015.12,1231149.77825,34822.75,505.707,1525.9224137931
351,500_425_QEPB04081__351__15-54-08-772.txt,1044,220.843,1015.12,1231898.14475,34847.75,505.707,1526.86781609195
352,500_425_QEPB04081__352__15-54-09-773.txt,1044,220.843,1015.12,1232054.99574,34802.12,505.707,1527.05486590038
353,500_425_QEPB04081__353__15-54-10-774.txt,1044,220.843,1015.12,1231165.97726,34736.38,505.707,1525.95662835249
354,500_425_QEPB04081__354__15-54-11-774.txt,1044,220.843,1015.12,1231921.58624,34855.12,505.707,1526.90256704981
355,500_425_QEPB04081__355__15-54-12-775.txt,1044,220.843,1015.12,1139138.9915,32141,505.707,1411.88505747126
356,500_425_QEPB04081__356__15-54-13-779.txt,1044,220.843,1015.12,1176767.86776,33169.88,505.707,1458.54379310345
357,500_425_QEPB04081__357__15-54-14-771.txt,1044,220.843,1015.12,1223161.89776,34544.88,505.707,1516.04187739464
358,500_425_QEPB04081__358__15-54-15-775.txt,1044,220.843,1015.12,1227291.01476,34600.38,506.48,1521.15681992337
359,500_425_QEPB04081__359__15-54-16-766.txt,1044,220.843,1015.12,1228767.01526,34680.88,505.707,1522.97865900383
360,500_425_QEPB04081__360__15-54-17-765.txt,1044,220.843,1015.12,1227712.99674,34737.62,505.707,1521.66885057471
361,500_425_QEPB04081__361__15-54-18-766.txt,1044,220.843,1015.12,1227869.3345,34714,505.707,1521.88314176245
362,500_425_QEPB04081__362__15-54-19-758.txt,1044,220.843,1015.12,1227864.54675,34673.25,505.707,1521.85344827586
363,500_425_QEPB04081__363__15-54-20-748.txt,1044,220.843,1015.12,1227658.84676,34640.38,505.707,1521.61180076629
364,500_425_QEPB04081__364__15-54-21-750.txt,1044,220.843,1015.12,1227272.17575,34670.25,505.707,1521.13122605364
365,500_425_QEPB04081__365__15-54-22-752.txt,1044,220.843,1015.12,1226696.919,34668.5,505.707,1520.41666666667
366,500_425_QEPB04081__366__15-54-23-743.txt,1044,220.843,1015.12,1227054.13174,34569.12,505.707,1520.86521072797
367,500_425_QEPB04081__367__15-54-24-745.txt,1044,220.843,1015.12,1227643.3615,34643.5,505.707,1521.60249042146
368,500_425_QEPB04081__368__15-54-25-739.txt,1044,220.843,1015.12,1227429.04675,34576.25,506.48,1521.33429118774
369,500_425_QEPB04081__369__15-54-26-731.txt,1044,220.843,1015.12,1226164.269,34606,505.707,1519.76245210728
370,500_425_QEPB04081__370__15-54-27-748.txt,1044,220.843,1015.12,1226594.30075,34521.75,505.707,1520.30938697318
371,500_425_QEPB04081__371__15-54-28-737.txt,1044,220.843,1015.12,1226567.46276,34510.88,505.707,1520.27846743295
372,500_425_QEPB04081__372__15-54-29-734.txt,1044,220.843,1015.12,1226881.766,34605.5,505.707,1520.66283524904
373,500_425_QEPB04081__373__15-54-30-736.txt,1044,220.843,1015.12,1225753.30075,34547.75,505.707,1519.25287356322
374,500_425_QEPB04081__374__15-54-31-723.txt,1044,220.843,1015.12,1225148.26424,34525.12,505.707,1518.5117624521
375,500_425_QEPB04081__375__15-54-32-722.txt,1044,220.843,1015.12,1225494.9205,34433,505.707,1518.95498084291
376,500_425_QEPB04081__376__15-54-33-730.txt,1044,220.843,1015.12,1225137.11176,34493.88,505.707,1518.49590038314
377,500_425_QEPB04081__377__15-54-34-727.txt,1044,220.843,1015.12,1226940.17326,34535.88,506.48,1520.72674329502
378,500_425_QEPB04081__378__15-54-35-728.txt,1044,220.843,1015.12,1225028.2075,34458.5,505.707,1518.36877394636
379,500_425_QEPB04081__379__15-54-36-728.txt,1044,220.843,1015.12,1223886.00126,34409.38,505.707,1516.93555555556
380,500_425_QEPB04081__380__15-54-37-745.txt,1044,220.843,1015.12,1224471.97875,34403.75,506.48,1517.68965517241
381,500_425_QEPB04081__381__15-54-38-743.txt,1044,220.843,1015.12,1224570.7455,34431.5,505.707,1517.80938697318
382,500_425_QEPB04081__382__15-54-39-741.txt,1044,220.843,1015.12,1223393.72675,34436.75,505.707,1516.33908045977
383,500_425_QEPB04081__383__15-54-40-742.txt,1044,220.843,1015.12,1223686.632,34341,505.707,1516.719348659
384,500_425_QEPB04081__384__15-54-41-748.txt,1044,220.843,1015.12,1223641.54626,34453.38,505.707,1516.65394636016
385,500_425_QEPB04081__385__15-54-42-755.txt,1044,220.843,1015.12,1222945.80676,34395.88,505.707,1515.7861302682
386,500_425_QEPB04081__386__15-54-43-756.txt,1044,220.843,1015.12,1222614.671,34363,505.707,1515.3754789272
387,500_425_QEPB04081__387__15-54-44-748.txt,1044,220.843,1015.12,1222891.28126,34397.38,505.707,1515.72578544062
388,500_425_QEPB04081__388__15-54-45-740.txt,1044,220.843,1015.12,1223379.85075,34342.25,505.707,1516.33429118774
389,500_425_QEPB04081__389__15-54-46-742.txt,1044,220.843,1015.12,1221948.0425,34315,505.707,1514.55459770115
390,500_425_QEPB04081__390__15-54-47-731.txt,1044,220.843,1015.12,1221912.42524,34327.12,505.707,1514.51272030651
391,500_425_QEPB04081__391__15-54-48-729.txt,1044,220.843,1015.12,1224387.79226,34364.88,505.707,1517.59360153257
392,500_425_QEPB04081__392__15-54-49-737.txt,1044,220.843,1015.12,1221522.9615,34252.5,506.48,1514.02394636015
393,500_425_QEPB04081__393__15-54-50-736.txt,1044,220.843,1015.12,1222576.76576,34288.38,505.707,1515.34072796935
394,500_425_QEPB04081__394__15-54-51-741.txt,1044,220.843,1015.12,1222883.68324,34256.62,506.48,1515.72632183908
395,500_425_QEPB04081__395__15-54-52-731.txt,1044,220.843,1015.12,1221147.8,34274,505.707,1513.56800766284
396,500_425_QEPB04081__396__15-54-53-731.txt,1044,220.843,1015.12,1221318.34526,34219.38,506.48,1513.78325670498
397,500_425_QEPB04081__397__15-54-54-726.txt,1044,220.843,1015.12,1222119.70826,34294.38,505.707,1514.77750957855
398,500_425_QEPB04081__398__15-54-55-722.txt,1044,220.843,1015.12,1223036.90726,34355.88,505.707,1515.92214559387
399,500_425_QEPB04081__399__15-54-56-717.txt,1044,220.843,1015.12,1220416.31425,34199.25,505.707,1512.66283524904
400,500_425_QEPB04081__400__15-54-57-728.txt,1044,220.843,1015.12,1221466.00624,34232.62,505.707,1513.97153256705
401,500_425_QEPB04081__401__15-54-58-730.txt,1044,220.843,1015.12,1221440.81826,34179.88,506.48,1513.94321839081
402,500_425_QEPB04081__402__15-54-59-721.txt,1044,220.843,1015.12,1221390.67774,34233.62,505.707,1513.87574712643
403,500_425_QEPB04081__403__15-55-00-733.txt,1044,220.843,1015.12,1220044.44376,34192.88,505.707,1512.20088122606
404,500_425_QEPB04081__404__15-55-01-725.txt,1044,220.843,1015.12,1220845.06525,34270.75,505.707,1513.20593869732
405,500_425_QEPB04081__405__15-55-02-715.txt,1044,220.843,1015.12,1221727.63124,34190.62,506.48,1514.29720306513
406,500_425_QEPB04081__406__15-55-03-705.txt,1044,220.843,1015.12,1221226.09174,34232.62,506.48,1513.66406130268
407,500_425_QEPB04081__407__15-55-04-706.txt,1044,220.843,1015.12,1220256.53075,34174.75,506.48,1512.47796934866
408,500_425_QEPB04081__408__15-55-05-706.txt,1044,220.843,1015.12,1219796.43675,34189.75,505.707,1511.89176245211
409,500_425_QEPB04081__409__15-55-06-701.txt,1044,220.843,1015.12,1220178.90774,34177.12,505.707,1512.38819923371
410,500_425_QEPB04081__410__15-55-07-694.txt,1044,220.843,1015.12,1220753.71325,34177.25,506.48,1513.08620689655
411,500_425_QEPB04081__411__15-55-08-693.txt,1044,220.843,1015.12,1219267.85826,34134.88,506.48,1511.2545210728
412,500_425_QEPB04081__412__15-55-09-688.txt,1044,220.843,1015.12,1221231.80624,34201.12,505.707,1513.68034482758
413,500_425_QEPB04081__413__15-55-10-688.txt,1044,220.843,1015.12,1218277.7855,34094,505.707,1510.01915708812
414,500_425_QEPB04081__414__15-55-11-677.txt,1044,220.843,1015.12,1219784.52,34152,505.707,1511.88505747126
415,500_425_QEPB04081__415__15-55-12-684.txt,1044,220.843,1015.12,1218454.41076,34081.38,505.707,1510.24302681993
416,500_425_QEPB04081__416__15-55-13-679.txt,1044,220.843,1015.12,1221422.154,34207.5,505.707,1513.90804597701
417,500_425_QEPB04081__417__15-55-14-677.txt,1044,220.843,1015.12,1218520.38776,34059.38,506.48,1510.33977011495
418,500_425_QEPB04081__418__15-55-15-687.txt,1044,220.843,1015.12,1178442.906,32940,506.48,1460.64846743295
419,500_425_QEPB04081__419__15-55-16-677.txt,1044,220.843,1015.12,1145454.81775,32008.25,506.48,1419.75670498084
420,500_425_QEPB04081__420__15-55-17-678.txt,1044,220.843,1015.12,1212332.33124,33906.62,505.707,1502.65927203065
